"痛点,可能成因 / 使用场景,对应产品功能,核心卖点,内容建议"
"拖地過程費時費力，腰酸背痛,""需要大範圍拖地（大戶型、複雜地形）; 工作忙，下班後疲累"",自动吸拖洗一体 / 助力拖地 / 自动清洗拖布,""「一機替代多步驟」: 吸、拖、洗、烘一站完成; 大幅縮短打掃時間"",""開場語:「每天都要彎腰拖地，腰酸得受不了嗎？」; 腳本思路: 對比人工拖地的辛苦 vs. 新機器的輕鬆"""
"寵物毛髮四處亂飛，打掃不乾淨,""寵物掉毛量大、換毛季; 角落、沙發底難以徹底清理"",強力吸力 / 深度過濾 / 高覆蓋度的路徑規劃,""「毛髮剋星」: 迅速吸走毛髮，不易堵塞; 高效濾網避免二次揚塵"",""開場語:「家裡寵物毛髮到處亂飛？」; 腳本思路: 先顯示地上散落的毛髮 -> 一次搞定 -> 鏡頭特寫垃圾倉裡的毛髮"""
"拖完地還是濕漉漉或有水漬殘留,""拖布帶水量大、無法快速烘乾; 產品設計不佳，易留水痕"",拖地+熱風烘乾 / 自動淨水補給 / 高速滾刷,""「快速乾」: 杜絕地面水漬; 「乾淨不殘留」: 地面光亮，減少滑倒風險"",""開場語:「拖完地還有水漬，怕小孩滑倒？」; 腳本思路: 展現傳統拖地後的水痕 -> 新機器滾刷+烘乾 -> 對比乾爽安全"""
"拖布或刷頭易變髒，清洗麻煩且費水,""手動洗拖布汙水污染雙手; 清洗過程耗時、耗水"",自動清洗拖布 / 自動補水排水 / 一鍵自清潔,""「一鍵自動清洗」: 不用手洗拖布; 「衛生防護」: 避免二次汙染"",""開場語:「每次拖完地還要自己洗拖布？」; 腳本思路: 展現手洗拖布的髒污 -> 新機器自清潔示範 -> 提升生活品質"""
"角落、縫隙難以清理,""傳統大拖布頭無法深入; 家具底部或角落積灰難掃"",靈活滾刷頭 / 智能規劃 / 超薄機身,""「全覆蓋清潔」: 智能檢測，深入家具底部; 避免積灰細菌"",""開場語:「你有注意過沙發底下積了多少灰嗎？」; 腳本思路: 拍難以清掃的死角 -> 機器探角落 -> 前後對比"""
"清洁设备操作复杂、保養麻煩,""市面上有些機型操作步驟繁瑣; 用戶不熟悉使用方法"",模組化拆裝 / 一鍵啟動 / 智能APP操控,""「上手快」: 簡化使用; 「智能化」: 手機連接查看紀錄"",""開場語:「你家清潔神器需要研究2天說明書嗎？」; 腳本思路: 展現繁瑣拆裝痛苦 -> 新產品一鍵設計 -> 品牌售後支持"""
"清潔時間長、續航不足 (無線設備),""大戶型需求量大; 電池容量小，充電時間長"",大容量電池 / 快充功能 / 節能模式,""「長時續航」: 一次打掃全屋; 「快充」: 隨時準備就緒"",""開場語:「打掃到一半就沒電？」; 腳本思路: 動態對比電量不足 -> 實測一次清潔整屋 -> 呼應快節奏生活"""
"產品價格高、猶豫是否值得,""消費者預算有限; 不確定性能，怕買回來雞肋"",高效能 / 多功能一體 / 投資回報,""「長期省時省力」: 節省家政成本; 一機抵多機，多用途"",""開場語:「還在猶豫要不要花這筆錢？」; 腳本思路: 用時間+體力 vs. 一次投資做對比 -> 展示多功能合一 -> CP值高"""
"擔心後續維修保養成本或售後麻煩,""品牌售後不完善，或維修點少; 害怕壞了麻煩"",優質保修政策 / 免費上門維修 / 全國服務網點,""「完善售後」: 買得安心，用得放心; 品牌可信度高"",""開場語:「用兩次就壞怎麼辦？」; 腳本思路: 先講常見顧慮 -> 強調品牌服務和保修 -> 用戶好評或成功案例"""
"噪音大影響家人休息或鄰居,""老式掃地機聲音過大; 家中有小孩/老人需要安靜"",降噪馬達 / 靜音模式,""「低噪運行」: 夜裡或午休都能用; 品質生活不打擾"",""開場語:「打掃聲音大，怕吵醒孩子？」; 腳本思路: 展現傳統機器的分貝對比 -> 新機器噪音減弱 -> 媽媽和寶寶場景"""