序號,痛點,對應功能 / 解法,核心賣點 / 訴求,內容腳本建議
1,拖地過程費時費力，腰酸背痛,- 自動吸拖洗一體 / 減少重複勞動- 助力拖地 / 自動滾刷設計,- 「省力省時」：一機完成吸、拖、洗、烘- 「解放雙手」：更輕鬆，告別腰酸背痛,開場：「每天都要彎腰拖地，腰酸得受不了嗎？」腳本結構：1. 對比鏡頭：人工拖地 vs. 新機器輕鬆前行2. 一鍵啟動、自動推進的畫面，強調省力3. 結尾呼應「解放雙手、守護家人健康」；可帶 CTA（瞭解更多/立即下單）
2,寵物毛髮四處亂飛，易造成清潔困擾,- 強力吸力 + 高效過濾- 防纏繞刷頭設計 / 避免毛髮堵塞,- 「毛髮剋星」：一次吸淨，大容量垃圾倉不易堵- 「避免二次揚塵」：高效濾網阻擋細小灰塵,開場：「你家寵物毛髮是不是到處亂飄，每天都在撿毛？」腳本結構：1. 寵物在地上奔跑、毛髮飄散的鏡頭引出痛點2. 機器吸力展示，一次帶走毛髮3. 亮出垃圾倉內囤積的毛髮，強調「不殘留、不堵塞」；收尾可加用戶好評/寵物主人親測背書
3,拖完地還是濕漉漉或有水漬殘留，易滑倒,- 吸拖同步 / 吸水後快速烘乾- 熱風烘乾功能 / 高速滾刷吸走殘水,- 「告別水漬」：地板即拖即乾，不留汙漬- 「安全防滑」：特別針對老人、小孩的家庭，減少意外風險,開場：「每次拖完地，還是濕答答，怕小孩滑倒嗎？」腳本結構：1. 演繹濕地板滑倒小意外，引起注意2. 機器展示：滾刷+烘乾，地板瞬乾對比3. 結尾突出「乾爽、安全」，家庭必備利器
4,拖布/刷頭易變髒，清洗麻煩且浪費時間,- 一鍵自動清洗 / 自動排汙 / 自動淨水補給- 抗菌材質拖布 / 避免二次汙染,- 「免手洗」：一鍵完成清潔，免碰髒水- 「衛生無死角」：避免細菌滋生、保護家人健康,開場：「還在自己洗又黑又臭的拖布嗎？超厭世！」腳本結構：1. 先展示傳統手洗拖布的髒水畫面2. 一鍵啟動自清潔流程，全程演示；滾刷/拖布潔淨如新3. 收尾強調衛生、乾淨省力；可搭配「省水、省時」數據或品牌背書
5,角落、縫隙難以清理，死角藏污納垢,- 靈活滾刷 / 超薄機身 / 智能路徑規劃- 角落增壓或邊刷設計,- 「全覆蓋清潔」：牆角、家具底部一樣乾淨- 「減少灰塵聚集」：深度清潔守護家庭空氣品質,開場：「你家沙發底下有多久沒打掃了？」腳本結構：1. 先拍出角落灰塵堆積、用戶驚呼2. 展示產品滾刷能深入或超薄機身自由出入家具底3. 拋出前後對比，同時強調「潔淨無死角」的安心感
6,操作繁瑣、保養麻煩，需反覆拆卸 / 研究說明書,- 模組化拆裝 / 一鍵啟動 / 智能螢幕提示- 手機 APP 連接，提示維護與剩餘電量,- 「簡化使用流程」：開箱即用，降低學習成本- 「智能化」：手機監控、狀態檢查，保養提示到位,開場：「你買的清潔神器，是不是研究兩天還不會用？」腳本結構：1. 用戶翻說明書、手忙腳亂的鏡頭2. 新產品演示：一鍵啟動、簡易拆裝或 App 連動3. 結尾提到品牌售後支持、簡單維護，讓人買得安心
7,打掃面積大、續航不足，一半就沒電,- 大容量電池 / 快充技術 / 節能模式- 自動回充（若是掃地機器人）,- 「續航強勁」：一次掃畢整屋- 「效率翻倍」：省去等待充電時間，打掃不卡頓,開場：「家裡太大，打掃到一半就沒電，你也崩潰嗎？」腳本結構：1. 動態對比：一般機器出現電量不足的尷尬時刻2. 新產品大容量電池實測，一次搞定全屋3. 呼應現代人快節奏需求，用「一次充電、一週輕鬆」或類似數據做收尾
8,價格高，擔心投資回報不明顯,- 多功能一體 / 一機頂多機- 長期省時省力，節省請家政或耗材成本,- 「CP值高」：一次性投入，長期獲益- 「一機多用」：取代傳統掃帚、拖把、吸塵器等,開場：「這麼貴的機器，真的划算嗎？」腳本結構：1. 拋出用戶猶豫：預算有限或擔心雞肋2. 多功能合一示範：同時吸+拖+洗3. 舉實例算賬：請家政費、買耗材 vs. 一次性投資，最終強調長期來看更省錢
9,擔心售後維修麻煩、保固不夠完善,- 完善的售後體系 / 全國維修網點 / 延長保修- 快速客服響應或上門維修服務,- 「使用安心」：有問題馬上解決，無需二次擔憂- 「品牌背書」：官方品質、信譽保證,開場：「如果壞了要去哪修？會不會又要花大錢？」腳本結構：1. 說明常見故障或用戶最怕的維修困擾2. 展示品牌售後渠道，撥打電話/線上客服簡便流程3. 用用戶回饋或品牌保固年限作結，打消最後疑慮
10,噪音大，怕吵到家人或影響鄰居,- 靜音馬達 / 降噪模式- 低分貝運行、母嬰及寵物友好,- 「低噪不打擾」：夜間或午休也可清潔- 「高品質生活」：減少聲音污染，維持舒適環境,開場：「害怕吵醒孩子或被鄰居投訴嗎？」腳本結構：1. 分貝對比：傳統機器聲音 vs. 新機器靜音效果2. 展示機器運作時，寶寶仍安睡的溫馨畫面3. 收尾強調低噪設計是高端產品重要特點，母嬰、寵物家庭必備